"FIPS","State","County","UnempRate2020","PctEmpChange1920","UnempRate2019","PctEmpChange1819","UnempRate2018","UnempRate2017","UnempRate2016","UnempRate2015","UnempRate2014","UnempRate2010","UnempRate2007","PctEmpChange1020","PctEmpChange0720","PctEmpChange0710","PctEmpAgriculture","PctEmpMining","PctEmpConstruction","PctEmpManufacturing","PctEmpTrade","PctEmpTrans","PctEmpInformation","PctEmpFIRE","PctEmpServices","PctEmpGovt","NumCivEmployed","NumCivLaborForce2012","NumUnemployed2011","UnempRate2012","NumEmployed2011","NumEmployed2012","NumCivLaborForce2011","UnempRate2011","NumUnemployed2010","NumEmployed2010","NumCivLaborForce2010","NumUnemployed2009","NumEmployed2009","NumCivLaborForce2009","NumUnemployed2008","UnempRate2013","NumEmployed2008","NumCivLaborForce2008","UnempRate2009","UnempRate2008","NumEmployed2016","NumEmployed2020","NumCivLaborforce2020","NumUnemployed2020","NumEmployed2019","NumUnemployed2019","NumCivLaborforce2019","NumUnemployed2018","NumEmployed2018","NumCivLaborforce2018","NumUnemployed2017","NumEmployed2017","NumEmployed2013","NumUnemployed2016","NumUnemployed2012","NumCivLaborforce2016","NumCivLaborforce2015","NumEmployed2015","NumUnemployed2015","NumUnemployed2014","NumEmployed2014","NumCivLaborforce2014","NumUnemployed2013","NumCivLaborforce2013","NumUnemployed2007","NumEmployed2007","NumCivLaborforce2007","NumCivLaborforce2017"
"00000","US","United States",8.1,-6,3.7,1.3,3.9,4.4,4.9,5.3,6.2,9.6,4.6,5.9,1.7,-4,1.2592020708,0.5127226795,6.5922616631,10.1080077112,13.7453336763,5.3639142331,2.0112232335,6.5558400639,49.2441287883,4.6073658803,154842185,155038121,13831817,8.1,140688861,142527201,154520678,9,14860707,139393814,154254521,14230755,139594699,153825454,8900688,7.4,144860349,153761037,9.3,5.8,150949349,147677360,160611064,12933704,157154185,5986120,163140305,6288584,155152550,161441134,6977228,153237150,143905037,7725602,12510920,158674951,156840649,148554918,8285731,9617207,146318952,155936159,11457241,155362278,7034917,145156133,152191050,160214378
"01000","AL","Alabama",5.9,-3.2,3,2.3,3.9,4.6,5.9,6.1,6.7,10.4,4.1,6.6,0.3,-5.9,0.9931896114,0.398210342,6.604989835,14.3325685711,14.0837347858,5.4546520809,1.5196072822,5.5231660011,45.6780446499,5.4118368406,2097384,2178508,210958,8.2,1991379,2000848,2202337,9.6,228204,1968824,2197028,217809,1938784,2156593,127275,7.3,2049579,2176854,10.1,5.8,2029157,2099062,2230118,131056,2169395,67883,2237278,86315,2120704,2207019,99059,2073396,2012828,126572,177660,2155729,2152295,2020443,131852,146010,2018705,2164715,159274,2172102,88418,2092030,2180448,2172455
"01001","AL","Autauga",4.9,-3.9,2.7,1.7,3.6,4,5.1,5.2,5.8,8.8,3.4,4.7,4.1,-0.5,0.5179022918,0.3547834598,6.0720985238,12.9516352663,12.4459668869,6.7979773265,1.3620422478,5.9783051953,44.0828643667,9.4364244352,24522,25762,2157,7.1,23688,23932,25845,8.3,2268,23481,25749,2196,22464,24660,1311,6.3,23376,24687,8.9,5.3,24395,24576,25838,1262,25561,720,26281,941,25140,26081,1040,24858,24155,1315,1830,25710,25541,24206,1335,1489,24150,25639,1628,25783,824,23610,24434,25898
"01003","AL","Baldwin",5.6,-3.6,2.8,3.7,3.6,4.2,5.4,5.6,6.1,9.9,3.2,21.3,13.9,-6.1,0.9527715557,0.2576479372,8.5854602433,9.2490351348,16.4779001167,5.0036281036,1.525906763,7.5201648947,45.2030160583,5.2244691927,95091,84507,7618,7.7,77459,77973,85077,9,8268,75283,83551,7364,74950,82314,3983,6.7,79222,83205,8.9,4.8,84972,91338,96763,5425,94713,2711,97424,3445,91375,94820,3844,87994,79466,4806,6534,89778,87493,82619,4874,5281,81265,86546,5740,85206,2616,80213,82829,91838
"01005","AL","Barbour",7,-2.4,3.8,2.9,5.1,6,8.4,8.9,10.5,12.1,6.4,-11.1,-17.7,-7.4,5.7173422085,0,6.8108879116,23.047664329,12.8135029122,6.6325924165,0.6062046832,3.7204326637,33.638416736,7.0129561393,8413,9377,1127,11.8,8716,8273,9843,11.4,1241,8978,10219,1309,8635,9944,926,10.4,9249,10175,13.2,9.1,7638,7982,8587,605,8177,325,8502,430,7949,8379,498,7800,8152,696,1104,8334,8590,7823,767,929,7930,8859,944,9096,665,9698,10363,8298
"01007","AL","Bibb",6.6,-3.6,3.1,1.7,4,4.5,6.5,6.7,7.2,11.2,4.2,1.7,-4.5,-6.1,1.9673303923,1.8957911053,9.8485751759,16.8951949446,12.9009180875,5.7231429593,1.2638607369,5.3416000954,39.024681054,5.1389054489,8387,8808,932,8.8,8000,8037,8932,10.4,1005,7931,8936,1059,7637,8696,526,8,8225,8751,12.2,6,7986,8067,8640,573,8371,268,8639,340,8229,8569,385,8142,8000,553,771,8539,8552,7983,569,614,7959,8573,699,8699,367,8443,8810,8527
"01009","AL","Blount",4.1,-3.5,2.7,1.8,3.5,4.2,5.4,5.4,6.1,9.7,3.2,5.1,-8.4,-12.8,1.4463658347,0.6342108865,9.7184833691,17.155632614,14.824109139,6.8805037186,0.8577816307,6.0637861021,37.8792717981,4.5398549071,21917,24978,2173,7.1,22951,23216,25124,8.6,2419,22509,24928,2421,24005,26426,1288,6.4,25405,26693,9.2,4.8,23061,23653,24661,1008,24516,680,25196,874,24086,24960,1025,23631,23277,1319,1762,24380,24416,23089,1327,1497,23074,24571,1583,24860,867,25816,26683,24656
"01011","AL","Bullock",5.5,-1.2,3.7,1.3,4.6,5.1,6.9,8,8.8,11.7,9.6,4.3,37.4,31.8,4.9085436444,0,5.1400787219,36.2583931466,5.5568418615,5.5568418615,0.4630701551,3.0562630238,28.5714285714,10.4885390137,4319,4742,555,10.6,4274,4240,4829,11.5,576,4365,4941,534,3179,3713,397,9.5,3244,3641,14.4,10.9,4457,4553,4818,265,4608,177,4785,221,4549,4770,244,4576,4322,328,502,4785,4765,4385,380,415,4323,4738,452,4774,353,3313,3666,4820
"01013","AL","Butler",8.8,-6.5,3.7,3.8,4.7,5.7,6.9,7.6,8.5,13.4,6.3,3,-3.5,-6.3,2.4968474149,0.0756620429,3.94703657,25.0189155107,12.6607818411,4.9432534678,1.3366960908,3.4047919294,41.185372005,4.9306431274,7930,9103,1134,11.8,8046,8029,9180,12.4,1237,8015,9252,1362,7671,9033,800,10.4,8263,9063,15.1,8.8,8484,8255,9056,801,8832,340,9172,423,8512,8935,508,8412,8189,632,1074,9116,9113,8417,696,789,8496,9285,955,9144,573,8551,9124,8920
"01015","AL","Calhoun",7.1,-3.3,3.6,1,4.6,5.1,6.6,7.1,7.9,11.2,4,-6.2,-18.6,-13.2,1.0585435109,0.3465842659,5.6873225322,17.7426089861,15.3081676967,4.518122599,1.4489727743,4.2884583264,42.4336061467,7.1676131619,47896,49717,5285,9.1,45986,45196,51271,10.3,5779,45798,51577,5482,48278,53760,3203,8.9,51371,54574,10.2,5.9,42470,42980,46240,3260,44440,1642,46082,2129,43981,46110,2332,43324,44068,2980,4521,45450,45808,42566,3242,3759,43562,47321,4313,48381,2201,52782,54983,45656
"01017","AL","Chambers",6.8,-3.3,2.9,4,3.9,4.2,5.5,6.1,6.7,14.6,6.6,17.5,2.1,-13.2,1.2502520669,0.1882099886,4.2884990253,31.4445116623,11.4740875176,3.7037037037,1.9627613094,3.4012233649,37.5142837938,4.7724675674,14877,15160,1799,10.1,13386,13630,15185,11.8,2153,12581,14734,2624,11863,14487,2243,8.1,12823,15066,18.1,14.9,14044,14787,15865,1078,15287,462,15749,595,14705,15300,637,14521,14028,814,1530,14858,14939,14031,908,1021,14308,15329,1235,15263,1028,14489,15517,15158
