"FIPS","State","County","PopChangeRate1819","PopChangeRate1019","TotalPopEst2019","NetMigrationRate1019","NaturalChangeRate1019","Net_International_Migration_Rate_2010_2019","PopChangeRate0010","NetMigrationRate0010","NaturalChangeRate0010","Immigration_Rate_2000_2010","PopDensity2010","Under18Pct2010","Age65AndOlderPct2010","WhiteNonHispanicPct2010","BlackNonHispanicPct2010","AsianNonHispanicPct2010","NativeAmericanNonHispanicPct2010","HispanicPct2010","MultipleRacePct2010","NonHispanicWhitePopChangeRate0010","NonHispanicBlackPopChangeRate0010","NonHispanicAsianPopChangeRate0010","NonHispanicNativeAmericanPopChangeRate0010","HispanicPopChangeRate0010","MultipleRacePopChangeRate0010","WhiteNonHispanicNum2010","BlackNonHispanicNum2010","AsianNonHispanicNum2010","NativeAmericanNonHispanicNum2010","HispanicNum2010","MultipleRaceNum2010","ForeignBornPct","ForeignBornEuropePct","ForeignBornMexPct","NonEnglishHHPct","Ed1LessThanHSPct","Ed2HSDiplomaOnlyPct","Ed3SomeCollegePct","Ed4AssocDegreePct","Ed5CollegePlusPct","AvgHHSize","FemaleHHPct","HH65PlusAlonePct","OwnHomePct","ForeignBornNum","TotalPopACS","ForeignBornAfricaPct","Ed3SomeCollegeNum","Ed2HSDiplomaOnlyNum","Ed1LessThanHSNum","TotalPop25Plus","Ed5CollegePlusNum","TotalOccHU","ForeignBornAsiaPct","Ed4AssocDegreeNum","ForeignBornEuropeNum","NonEnglishHHNum","HH65PlusAloneNum","OwnHomeNum","FemaleHHNum","TotalHH","ForeignBornCentralSouthAmPct","ForeignBornCentralSouthAmNum","ForeignBornCaribPct","ForeignBornCaribNum","ForeignBornAfricaNum","ForeignBornAsiaNum","ForeignBornMexNum","LandAreaSQMiles2010","Age65AndOlderNum2010","TotalPop2010","Under18Num2010","Net_International_Migration_2000_2010","NaturalChangeNum0010","NetMigrationNum0010","TotalPopEst2012","TotalPopEst2013","TotalPopEst2010","TotalPopEst2014","TotalPopEst2011","Net_International_Migration_2010_2019","NaturalChange1019","TotalPopEst2015","TotalPopEst2016","TotalPopEst2017","NetMigration1019","TotalPopEst2018","TotalPopEstBase2010"
"00000","US","United States",0.475,6.116,328239523,2.485,3.631,2.485,9.71,,,,87.42,24.03,13.04,63.75,12.21,4.69,0.73,16.35,2.92,1.16,11.01,42.89,8.61,42.97,31.98,196817552,37685848,14465124,2247098,50477594,9009073,13.5545752628,1.4671627197,3.4649268253,4.3960497945,11.9989175517,26.9568436116,20.4171308768,8.4815660061,32.1455419538,2.62,12.435786239,10.9806226848,63.9921414122,44011407,324697795,0.6950071835,45044698,59472748,26472261,220622076,70920162,120756048,4.2013466707,18712207,4763845,5308496,13259766,77274381,15016964,120756048,5.5207486087,17925749,1.3353598536,4335884,2256673,13641680,11250541,3531905.43,40267984,308745538,74181467,,,,313830990,315993715,309321666,318301008,311556874,7685444,11232413,320635163,322941311,324985539,7685444,326687501,308758105
"01000","AL","Alabama",0.317,2.461,4903185,1.059,1.402,0.809,7.48,3.30,3.30,1.22293091485888,94.38,23.69,13.76,67.04,26.04,1.11,0.54,3.88,1.49,2.51,8.20,70.83,19.84,144.76,61.28,3204402,1244437,52937,25907,185602,71251,3.5467213535,0.4082850551,1.0059369392,1.2183246042,13.8193013472,30.8002675197,21.4108502061,8.5012483148,25.4683326121,2.55,14.1666037616,11.6740091643,68.780599317,172947,4876250,0.185388362,711028,1022839,458922,3320877,845772,1867893,1.1169238657,282316,19909,22757,218058,1284748,264617,1867893,1.6066444501,78344,0.1430402461,6975,9040,54464,49052,50645.33,657792,4779736,1132459,54447,147019.5,147119,4815588,4830081,4785437,4841799,4799069,38731,67083,4852347,4863525,4874486,50665,4887681,4780125
"01001","AL","Autauga",0.605,2.001,55869,0.686,1.315,-0.029,24.96,11.87,5.46,-0.0102223938574771,91.80,26.78,12.00,77.25,17.58,0.86,0.40,2.40,1.59,21.05,29.17,140.72,16.67,114.75,114.57,42154,9595,467,217,1310,869,2.3456121343,0.346695558,0.4749006862,0.7150535122,11.4833944389,33.5884604062,19.9507586908,8.4058126154,26.5715738486,2.56,13.0018226854,10.3706127027,73.2906482217,1299,55380,0.2365474901,7455,12551,4291,37367,9929,21397,0.8956301914,3141,192,153,2219,15682,2782,21397,0.7078367642,392,0.1300108342,72,131,496,263,594.44,6546,54571,14613,-4.5,2403.5,5224,54954,54727,54773,54893,55227,-16,720,54864,55243,55390,376,55533,54597
"01003","AL","Baldwin",2.469,21.911,223234,21.001,0.91,0.714,29.80,26.17,3.32,1.58445472683279,114.65,22.99,16.77,83.50,9.31,0.74,0.63,4.38,1.49,25.92,18.17,152.35,52.19,224.09,85.74,152200,16966,1340,1146,7992,2723,3.723159329,0.8175539163,0.8297702392,1.1862103052,9.1938429774,27.6596167081,21.836783313,9.4472973688,31.8624596326,2.59,9.6997405165,12.6751513654,75.2452736933,7924,212830,0.129680966,32998,41797,13893,151112,48148,80930,0.6554527087,14276,1740,960,10258,60896,7850,80930,1.7939200301,3818,0.1870037119,398,276,1395,1766,1589.78,30568,182265,41898,2239.5,4686.5,36984,190145,194885,183112,199183,186558,1307,1667,202939,207601,212521,38455,217855,182265
"01005","AL","Barbour",-0.748,-9.664,24686,-8.797,-0.867,0.161,-5.44,-4.80,2.29,1.82836463897984,31.03,21.91,14.24,46.75,46.69,0.39,0.22,5.05,0.94,-13.19,-4.11,28.92,-49.58,190.17,21.70,12837,12820,107,60,1387,258,2.7167698435,0.2247545444,1.2814952092,1.6158373462,26.7869071476,35.6045424182,18.8265419728,7.2032954798,11.5787129815,2.41,18.405564473,13.9218833601,60.8988764045,689,25361,0,3382,6396,4812,17964,2080,9345,0.4495090888,1294,57,151,1301,5691,1720,9345,1.9439296558,493,0.0118291865,3,0,114,325,884.88,3909,27457,6015,530.5,664,-1393,27169,26937,27327,26755,27341,44,-237,26283,25806,25157,-2404,24872,27455
"01007","AL","Bibb",0.121,-2.081,22394,-2.099,0.017,0.525,10.03,6.43,2.10,0.34148546175865,36.81,22.70,12.68,75.02,21.92,0.10,0.28,1.77,0.89,8.32,9.60,29.41,39.13,93.33,89.72,17191,5024,22,64,406,203,1.5115813809,0.0889165518,0.0800248966,0.5804672762,20.9426026719,44.8787728847,16.4460663038,7.3540326571,10.3785254824,2.99,11.3771586127,11.638368887,74.4159048034,340,22493,0,2659,7256,3386,16168,1678,6891,0.1822789312,1189,20,40,802,5128,784,6891,1.1025652425,248,0.1378206553,31,0,41,18,622.58,2906,22915,5201,68,417.5,1280,22667,22521,22870,22553,22745,120,4,22566,22586,22550,-480,22367,22915
"01009","AL","Blount",0.095,0.784,57826,-0.005,0.79,0.207,12.34,12.27,3.14,2.07701489032813,88.90,24.61,14.72,88.89,1.26,0.20,0.50,8.07,1.19,8.41,21.07,64.29,34.43,70.20,31.79,50952,724,115,285,4626,684,4.540489936,0.2583172969,3.1986269309,1.7700388545,19.5094368073,33.4221306326,21.4445477621,12.5304717147,13.0934130834,2.74,9.2531299468,11.2342303449,78.7787211589,2619,57681,0.0814826373,8533,13299,7763,39791,5210,20847,0.2652519894,4986,149,369,2342,16423,1929,20847,3.6996584664,2134,0.1490958895,86,47,153,1845,644.78,8439,57322,14106,1061.5,1606,6268.5,57580,57619,57376,57526,57560,119,453,57526,57494,57787,-3,57771,57322
"01011","AL","Bullock",-0.718,-7.126,10101,-7.769,0.644,0.699,-6.83,-9.13,3.20,3.66116915637682,17.52,22.26,13.46,21.92,69.97,0.18,0.18,7.12,0.79,-13.46,-10.00,-4.76,-45.95,141.30,4.88,2392,7637,20,20,777,86,0.7025761124,0.1366120219,0,1.363249077,25.3203774116,40.2760174623,17.8707224335,4.4782425011,12.0546401915,2.79,22.3516046578,11.5592161318,71.1161601818,72,10248,0.0683060109,1269,2860,1798,7101,856,3521,0.0878220141,318,14,48,407,2504,787,3521,0.3415300546,35,0.0683060109,7,7,9,0,622.80,1469,10914,2430,424,371,-1057.5,10606,10549,10876,10663,10675,76,70,10400,10389,10176,-845,10174,10911
"01013","AL","Butler",-0.932,-7.09,19448,-5.738,-1.352,0.697,-2.11,-6.67,-0.25,0.206330597889801,26.96,24.14,16.66,54.06,43.19,0.83,0.28,0.91,0.77,-8.89,4.34,411.76,34.09,33.57,91.67,11324,9047,174,59,191,161,0.7716360702,0.2925156345,0.1613879363,0.307408546,14.9504305666,45.184166727,16.3687676388,7.3594326652,16.1372024025,3,16.5539501998,12.6037503843,69.9508146326,153,19828,0,2262,6244,2066,13819,2230,6506,0.3177324995,1017,58,20,820,4551,1077,6506,0.1613879363,32,0,0,0,63,32,776.83,3489,20947,5056,44,-52.5,-1423,20670,20356,20932,20327,20866,146,-283,20162,20012,19888,-1201,19631,20940
"01015","AL","Calhoun",-0.635,-4.056,113605,-3.268,-0.788,0.471,5.63,1.48,1.62,0.714793709095165,195.71,22.88,14.33,73.61,20.39,0.70,0.40,3.28,1.67,-0.36,16.66,32.80,12.41,122.08,82.70,87285,24177,830,480,3893,1975,2.6618855677,0.4859620653,0.9937357134,0.9483241789,15.5673256813,32.7906153613,24.9772462962,8.1837487991,18.4810638621,2.5,15.9062885327,11.3888577514,70.0683779845,3051,114618,0.0942260378,19759,25940,12315,79108,14620,44605,0.697098187,6474,557,423,5080,31254,7095,44605,1.2903732398,1479,0.0732869183,84,108,799,1139,605.87,16990,118572,27126,794,1800.5,1645,117190,116471,118408,115917,117744,558,-933,115469,114973,114710,-3870,114331,118526
